mes_sol;año_sol;desc_cnae;empresa_municipio;localidades_centro_trab;desc_sector;total_trab_sus;trab_hombres_sus;trab_mujeres_sus
11;2024;Actividades de las agencias de colocación;Almussafes;Almussafes;SERVICIOS;44;31;13
11;2024;Limpieza general de edificios;Barcelona;Torrent;SERVICIOS;48;33;15
11;2024;Depósito y almacenamiento;Almussafes;Almussafes;SERVICIOS;204;173;31
11;2024;Actividades de servicios sociales sin alojamiento para personas con discapacidad;Madrid;"Alzira; Llíria; Valencia";SERVICIOS;79;42;37
11;2024;Comercio al por mayor de otra maquinaria y equipo;Almussafes;Almussafes;SERVICIOS;285;203;82
11;2024;Fabricación de otros componentes, piezas y accesorios para vehículos de motor;Almussafes;Almussafes;INDUSTRIA;75;55;20
11;2024;Fabricación de otros componentes, piezas y accesorios para vehículos de motor;Almussafes;Almussafes;INDUSTRIA;98;91;7
12;2024;Elaboración de platos y comidas preparados;Madrid;Aldaya;INDUSTRIA;26;17;9
12;2024;Limpieza general de edificios;Barcelona;Aldaya;SERVICIOS;48;33;15
12;2024;Elaboración de platos y comidas preparados;Madrid;Aldaya;INDUSTRIA;26;17;9
12;2024;Otro comercio al por menor en establecimientos no especializados;Valencia;"Alfafar; Catarroja";SERVICIOS;13;0;13
12;2024;Fabricación de otros componentes, piezas y accesorios para vehículos de motor;Almussafes;Almussafes;INDUSTRIA;242;197;45
12;2024;Comercio al por mayor de frutas y hortalizas;Carlet;"Carlet; Guadassuar";SERVICIOS;604;125;479
12;2024;Actividades de las empresas de trabajo temporal;Madrid;Almussafes;SERVICIOS;39;29;10
12;2024;Actividades de las empresas de trabajo temporal;Madrid;Riba-Roja De Túria;SERVICIOS;35;25;10
12;2024;Actividades de las empresas de trabajo temporal;Madrid;Picassent;SERVICIOS;10;10;0
12;2024;Actividades de las empresas de trabajo temporal;Madrid;Llíria;SERVICIOS;22;22;0
12;2024;Comercio al por mayor de prendas de vestir y calzado;Barcelona;Aldaya;SERVICIOS;14;0;14
12;2024;Comercio al por mayor de frutas y hortalizas;Cheste;Cheste;SERVICIOS;287;188;99
12;2024;Otros servicios de comidas;Leganés;"Albal; Aldaya; Alfafar; Algemesí; Catarroja; Godella; Paterna; Sedaví; Valencia";SERVICIOS;17;1;16
12;2024;Otros servicios de comidas;Castelldefels;Alginet;SERVICIOS;0;0;0
12;2024;Limpieza general de edificios;Elche;"Albal; Aldaya; Alfafar; Algemesí; Catarroja; Godella; Paiporta; Paterna; Sedaví; Valencia";SERVICIOS;17;1;16
12;2024;Comercio al por menor en establecimientos no especializados, con predominio en productos alimenticios, bebidas y tabaco;Onteniente;"Alaquàs; Albal; Alcúdia (L'); Aldaya; Alfafar; Algemesí; Alzira; Carlet; Catadau; Massanassa; Picassent; Requena";SERVICIOS;152;23;129
12;2024;Elaboración de platos y comidas preparados;Valencia;Valencia;INDUSTRIA;4;1;3
12;2024;Comercio al por mayor de frutas y hortalizas;Càrcer;"Càrcer; Pobla Llarga (La)";SERVICIOS;62;0;0
12;2024;Actividades de las empresas de trabajo temporal;Vigo;Catarroja;SERVICIOS;21;9;12
1;2025;Actividades de programación informática;Almussafes;Almussafes;SERVICIOS;91;69;22
1;2025;Comercio al por menor de prendas de vestir en establecimientos especializados;Murcia;Alfafar;SERVICIOS;3;0;3
